Posted Date,Reference Number,Payee,Address,Amount
12/21/2021,24427331354720206341892,"MCDONALD'S F20390 COLUMBIA SC","COLUMBIA      SC ",-8.45
12/20/2021,24137461353500852603671,"PUBLIX #1637 LEXINGTON SC","LEXINGTON     SC ",-23.19
12/20/2021,24186161352400835000516,"BURGER KING #15394 WEST COLUMBIASC","WEST COLUMBIA SC ",-20.84
12/18/2021,35206005720014844686599,"Online payment from CHK 1053","",416.69
12/14/2021,24692161347100224156045,"BMX*DOMINION ENERGY SC 866-416-0649 SC","866-416-0649  SC ",-114.09
12/13/2021,24692161346100677984175,"CIRCLE K # 23272 WEST COLUMBIASC","WEST COLUMBIA SC ",-34.81
12/11/2021,24428061344100359246948,"THIRSTY FELLOW PIZZERIA ACOLUMBIA SC","COLUMBIA      SC ",-18.85
12/11/2021,24692161344100211049339,"STARBUCKS STORE 57618 CAYCE SC","CAYCE         SC ",-6.49
12/10/2021,34306005720014100872398,"Online payment from CHK 1053","",699.73
12/09/2021,24427331342730259457292,"FOOD LION #2810 CAYCE SC","CAYCE         SC ",-11.17
12/08/2021,24628011341000225991196,"PILOT_00338 CAYCE SC","CAYCE         SC ",-46.05
12/06/2021,24692161340100561202839,"CIRCLE K # 23272 WEST COLUMBIASC","WEST COLUMBIA SC ",-48.97
12/04/2021,24692161337100107965480,"VZWRLSS*APOCC VISE 800-922-0204 FL","800-922-0204  FL ",-89.39
12/02/2021,24492151335715911009665,"NC BOARD OF EXAMINERS FOR919-791-2000 NC","919-791-2000  NC ",-75.00
11/29/2021,24223691332017021781851,"SHEILA'S SHAMROCK CHARLESTON SC","CHARLESTON    SC ",-59.84
11/29/2021,74445001330300582302668,"APPLIANCEPARTS365 COM CINCINNATI OH","CINCINNATI    OH ",64.05
11/29/2021,24137461331500976155415,"TST* CARMELLA'S CHARLESTON SC","CHARLESTON    SC ",-30.17
11/29/2021,24692161331100767431530,"SPECTRUM 855-707-7328 NC","855-707-7328  NC ",-74.99
11/27/2021,24493981331400280002020,"CHS AIRPORT PARKING NORTH CHARLESSC","NORTH CHARLES SC ",-3.00
11/27/2021,24692161331100525350949,"CIRCLE K # 23272 WEST COLUMBIASC","WEST COLUMBIA SC ",-39.63
11/26/2021,24493981330400259000295,"CHS AIRPORT PARKING NORTH CHARLESSC","NORTH CHARLES SC ",-3.00
11/26/2021,24427331329730224676189,"FOOD LION #2810 CAYCE SC","CAYCE         SC ",-21.60
11/26/2021,24692161330100766373387,"CIRCLE K # 23272 WEST COLUMBIASC","WEST COLUMBIA SC ",-20.48
11/26/2021,24445001329400222197417,"WM SUPERCENTER #5378 CAYCE SC","CAYCE         SC ",-49.06
